"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test check sum of all products prices in the checkout overview","7535","test 23 checkout overview sum prices","tests.checkout","Sat Oct 04 12:00:33 UTC 2025","passed","Sat Oct 04 12:00:40 UTC 2025","Test_23_checkout_overview_sum_prices","test_23_checkout_sum_prices","",""
"This test open the header manu","7004","Test 05 Open manu heder","tests.manu","Sat Oct 04 12:02:08 UTC 2025","passed","Sat Oct 04 12:02:15 UTC 2025","Test_5_manu_header","test_5_manu_header","",""
"This test check the sorting the products page according to hilo","4846","Test 12 hilo sort products list","tests.sort","Sat Oct 04 12:03:35 UTC 2025","passed","Sat Oct 04 12:03:40 UTC 2025","Test_12_sort_hilo","test_12_sort_hilo","",""
"This test check the sorting the products page according to za","4855","Test 11 sort za products list","tests.sort","Sat Oct 04 12:03:28 UTC 2025","passed","Sat Oct 04 12:03:32 UTC 2025","Test_11_sort_za","test_11_sort_za","",""
"This test check the negative login scenario - wrong user and password","1916","Test 02 login fail - non-valid user","tests.login","Sat Oct 04 12:01:07 UTC 2025","passed","Sat Oct 04 12:01:09 UTC 2025","Test_2_login","test_2_login_fail","",""
"This test checkout after adding 2 products to cart from products page - Checkout successfully","12685","Test 22 checkout 2prod flow","tests.checkout","Sat Oct 04 12:00:17 UTC 2025","passed","Sat Oct 04 12:00:30 UTC 2025","Test_22_checkout_2prod_flow","test_22_checkout_2prod_flow","",""
"This test check the adding 2 products to cart from products page - verify cart has 2 more products","12674","Test 03 add 2 products","tests.product","Sat Oct 04 12:03:05 UTC 2025","passed","Sat Oct 04 12:03:18 UTC 2025","Test_03_product_add_2prod","test_3_product_add_2prod","",""
"This test calc the tax for all products prices in the cart","7539","test 23 checkout overview tax for total price","tests.checkout","Sat Oct 04 12:00:43 UTC 2025","passed","Sat Oct 04 12:00:50 UTC 2025","Test_24_checkout_overview_tax_price","test_24_checkout_overview_tax_price","",""
"This test check the adding 2 products to cart from products page - verify cart has 2 more products","14038","Test 14 add 2 products in products page","tests.product","Sat Oct 04 12:02:18 UTC 2025","passed","Sat Oct 04 12:02:32 UTC 2025","Test_14_products_add_2prod","test_14_products_add_2prod","",""
"This test check the positive relogin scenario","8291","Test 07 relogin valid user","tests.login","Sat Oct 04 12:01:12 UTC 2025","passed","Sat Oct 04 12:01:20 UTC 2025","Test_7_relogin","test_7_relogin","",""
"This test open the manu and goes to all items - products page","6505","Test 15 menu all items","tests.manu","Sat Oct 04 12:01:31 UTC 2025","passed","Sat Oct 04 12:01:38 UTC 2025","Test_15_manu_all_items","test_15_manu_all_items","",""
"This test check the removal of products from the cart in product page - verify cart has 2 less products","16978","Test 19 remove products from cart in product page","tests.product","Sat Oct 04 12:02:45 UTC 2025","passed","Sat Oct 04 12:03:02 UTC 2025","Test_19_product_remove","test_19_product_remove","",""
"This test all manu options","16182","Test 17 Open manu flow","tests.manu","Sat Oct 04 12:01:50 UTC 2025","passed","Sat Oct 04 12:02:06 UTC 2025","Test_17_manu_flow","test_17_manu_flow","",""
"This test calc the tax for all products prices in the cart","7551","test 24 checkout overview tax for total price","tests.checkout","Sat Oct 04 12:00:53 UTC 2025","passed","Sat Oct 04 12:01:00 UTC 2025","Test_24_checkout_overview_tax_price","test_25_checkout_overview_total_w_tax","",""
"This test check the return to products page - after clicks on continue shopping","5557","Test 20 cart continue shopping","tests.cart","Sat Oct 04 11:59:48 UTC 2025","passed","Sat Oct 04 11:59:53 UTC 2025","Test_20_cart_continue_shopping","test_20_cart_continue_shopping","",""
"This test check the sorting the products page according to az","4874","Test 10 sort az products list","tests.sort","Sat Oct 04 12:03:20 UTC 2025","passed","Sat Oct 04 12:03:25 UTC 2025","Test_10_sort_az","test_10_sort_az","",""
"This test open the manu and goes to about page","6673","Test 16 Open manu about","tests.manu","Sat Oct 04 12:01:40 UTC 2025","passed","Sat Oct 04 12:01:47 UTC 2025","Test_16_manu_about","test_16_manu_about","",""
"This test check the removal of products from the cart - verify cart has 2 less products","9247","Test 06 remove products from cart","tests.cart","Sat Oct 04 11:59:56 UTC 2025","passed","Sat Oct 04 12:00:05 UTC 2025","Test_6_cart_remove","test_6_cart_remove","",""
"This test check the return to products page - after clicks on continue shopping","7507","Test 20 cart continue shopping","tests.checkout","Sat Oct 04 12:00:07 UTC 2025","passed","Sat Oct 04 12:00:15 UTC 2025","Test_21_checkout_checkout","test_21_checkout_checkout","",""
"This test check the positive logout scenario","6388","Test 9 logout valid user","tests.login","Sat Oct 04 12:01:23 UTC 2025","passed","Sat Oct 04 12:01:29 UTC 2025","Test_9_login_logout","test_9_login_logout","",""
"This test check the sorting the products page according to hilo","4854","Test 13 hilo sort products list","tests.sort","Sat Oct 04 12:03:42 UTC 2025","passed","Sat Oct 04 12:03:47 UTC 2025","Test_13_sort_lohi","test_13_sort_lohi","",""
"This test check the removal of products from the cart in products page - verify cart has 2 less products","8582","Test 18 remove products from cart in products page","tests.product","Sat Oct 04 12:02:34 UTC 2025","passed","Sat Oct 04 12:02:43 UTC 2025","Test_18_products_remove","test_18_products_remove","",""
"This test check the negative login scenario - wrong user and password","1937","Test 02 login fail - non-valid user","tests.login","Sat Oct 04 12:03:50 UTC 2025","failed","Sat Oct 04 12:03:52 UTC 2025","Test_2_login","test_2_login_fail","",""
"This test check the positive login scenario","1947","Test 01 login valid user","tests.login","Sat Oct 04 12:01:03 UTC 2025","passed","Sat Oct 04 12:01:05 UTC 2025","Test_1_login","test_1_login","",""
